name,feedback,registered since,review,product on sale number
"jurgen4882
",250,03. Dez. 2004,NO,0
"sabinem273
",307,10. Mai. 2006,NO,0
"schweisser09
",605,14. Sep. 2009,NO,0
"fiess38
",354,20. Jan. 2008,NO,0
"kani273
",309,22. Jun. 2014,NO,2
"tritongold
",732,27. Jan. 2003,NO,0
"0730emma
",346,09. Mrz. 2008,NO,0
"hanne1978
",462,23. Jun. 2004,NO,0
"turtula
",327,14. Dez. 2003,NO,0
"anbirne1
",928,14. Jan. 2006,NO,0
"gerhard8596
",404,02. Jan. 2005,NO,0
"claudiaarnold-thalheim
",254,02. Jun. 2009,NO,0
"mitraplo
",366,20. Mai. 2002,YES,0
"andy-von-a
",422,03. Mrz. 2003,NO,0
"rollfix3
",356,14. Feb. 2002,NO,0
"wilhelm4713
",314,21. Okt. 2005,YES,0
"trinchen156
",365,10. Jun. 2003,NO,0
"hundarco1526
",443,27. Nov. 2012,NO,0
"ubivec
",257,10. Feb. 2002,NO,0
"josef4443
",321,11. Jan. 2005,NO,0
"luckydad33
",268,02. Nov. 2001,NO,0
"huehnerbaron888
",466,15. Dez. 2002,NO,0
"docheli
",394,03. Dez. 2001,NO,0
"anaxxx1958
",439,04. Jan. 2009,NO,0
"thomas_j.
",883,01. Apr. 1999,NO,0
"rockster15
",760,24. Apr. 2003,NO,0
"rylll94
",275,31. Aug. 2005,NO,0
"lance1904
",524,17. Nov. 2001,NO,0
"anpemare
",307,16. Sep. 2002,NO,0
"timursula
",891,30. Okt. 2002,YES,0
"1308ilona
",962,08. Mrz. 2004,NO,0
"nchorst123
",461,24. Apr. 2005,YES,0
"01anfloh
",562,05. Feb. 2006,NO,0
"cyberbunge
",346,01. Apr. 1999,NO,0
"msag_msag
",744,18. Mrz. 2002,NO,0
"binechen
",606,20. Dez. 2010,NO,0
"neuge2
",273,29. Okt. 2009,NO,2
"0810sandra
",285,23. Aug. 2006,NO,0
"sabinalar
",505,03. Nov. 2000,NO,0
"hcabniehr
",265,14. Feb. 2002,NO,0
"lars-peter2
",330,06. Jul. 2002,NO,0
"haehnchen59
",816,31. Aug. 2003,NO,0
"thebumblebees
",287,21. Jan. 2003,NO,0
"potwornicka
",360,09. Apr. 2008,NO,0
"bellaluna-06
",715,10. Feb. 2007,YES,0
"ducpetz
",264,07. Mai. 2003,NO,0
"laatzen0815
",382,20. Mrz. 2003,YES,0
"schnellfahrer
",301,17. Okt. 2005,NO,0
"2410uwe
",413,22. Jan. 2006,NO,0
"mielke540740
",261,09. Mrz. 2009,NO,0
"jennifer71981
",516,29. Feb. 2004,NO,0
"jadee
",264,16. Sep. 2003,NO,0
"granjero82
",699,24. Sep. 2005,NO,0
"bombe1.9.80
",509,28. Jul. 2007,NO,0
"micheal7787
",615,27. Feb. 2005,YES,0
"ramonzel
",258,04. Jun. 2001,NO,0
"tom_cat01
",402,13. Aug. 2004,NO,0
"kojak999
",402,29. Aug. 2004,NO,0
"keks_75
",864,17. Jan. 2004,NO,0
"hasifantasy2020
",608,19. Dez. 2001,NO,0
"luboml-01-2008
",277,21. Sep. 2008,NO,0
"dummsau-4711
",301,21. Aug. 2000,NO,3
"fussballwaage88
",410,09. Mrz. 2008,NO,1
"norbert744
",327,11. Jan. 2004,NO,0
"ab301283
",563,15. Dez. 2001,NO,0
"seiterandreas
",421,11. Jun. 2003,NO,0
"maerklin69
",853,07. Jan. 2007,NO,0
"bladerunner355
",436,20. Jun. 2002,NO,0
"pabba3
",367,02. Mrz. 2003,NO,0
"klausv1263
",873,06. Dez. 2005,NO,0
"dr.big800s
",377,10. Apr. 2002,NO,0
"haraldella
",917,07. Okt. 2001,NO,0
"cold_der_erste
",273,26. Jan. 2009,YES,2
"waldemaroswald
",302,08. Okt. 2002,NO,0
"rico_05
",314,12. Aug. 2004,NO,0
"lotsp
",767,01. Apr. 1999,NO,0
"gandersheimer03
",290,12. Aug. 2003,NO,0
"virus3.5
",286,01. Jan. 2013,YES,0
"aggy02
",910,02. Dez. 2003,NO,0
"cellow99
",307,29. Jul. 2004,NO,0
"angis1986
",563,12. Mai. 2006,NO,0
"petrol276
",672,01. Okt. 2004,NO,0
"tinne28
",377,21. Mrz. 2004,NO,0
"hammbaer38
",541,07. Mrz. 2004,NO,0
"lars76lars
",362,20. Nov. 2010,NO,0
"sauber296
",372,04. Feb. 2007,NO,0
"anusch-1977
",574,10. Dez. 2006,NO,0
"thomaso1793
",623,22. Jun. 2006,NO,0
"trojana005
",279,25. Okt. 2002,NO,0
"lucaxx22
",731,01. Mai. 2006,NO,0
"svenkrause1
",275,01. Apr. 1999,NO,0
"axmud
",276,09. Okt. 2001,NO,0
"fransenmaus
",786,24. Jun. 2003,NO,0
"shgfd
",702,17. Jul. 2005,YES,0
"123eichholz
",316,09. Mai. 2005,NO,0
"staender79
",376,16. Jun. 2004,NO,0
"muschel-jan
",315,06. Apr. 2002,NO,0
"ich2bins
",487,31. Mrz. 2013,NO,0
"otterbock77
",278,01. Apr. 1999,NO,0
"moltke67
",257,30. Jun. 2004,NO,0
"parapu78
",706,28. Jun. 2003,NO,0
"dostmi
",281,28. Mai. 2001,NO,0
"deutz777
",326,15. Apr. 2002,NO,0
"vala777
",388,07. Nov. 2003,NO,0
"gesamoha
",436,18. Mrz. 2002,NO,0
"goldhamster23
",536,25. Okt. 2001,NO,0
"jungere64
",675,29. Jul. 2012,NO,0
"cuoriccino11
",618,21. Feb. 2004,NO,0
"birgit036
",807,02. Feb. 2003,YES,0
"nadja218g
",728,31. Jul. 2009,YES,0
"isidior
",481,04. Apr. 2003,NO,0
"danni073
",365,24. Jun. 2003,NO,0
"kreuztal1960
",279,09. Jul. 2002,NO,0
"kterhar
",586,03. Okt. 2001,YES,0
"sonnenblumenkuss
",343,24. Nov. 2005,NO,0
"heinzz72
",904,01. Jan. 2003,NO,0
"kalliruediger
",397,07. Jun. 2011,YES,0
"yellowsubmarine64
",415,21. Apr. 2007,NO,15
"vilasimius2009
",420,14. Dez. 2009,NO,0
"pistle-pete999
",701,28. Dez. 2004,NO,0
"molki93
",408,10. Mai. 2005,NO,0
"brekendorf0
",426,23. Aug. 2004,NO,0
"inchen0_0
",335,18. Jul. 2003,NO,59
"2004cico
",807,25. Feb. 2005,YES,0
"ella060519
",306,29. Jul. 2003,NO,0
"1578guido
",763,19. Dez. 2004,NO,0
"accalaurin
",525,26. Sep. 2001,NO,0
"lanber
",265,01. Apr. 1999,NO,0
"mistkaefer1613
",260,07. Okt. 2009,NO,0
"s-199
",664,09. Jan. 2002,YES,1
"1955guido
",391,16. Mrz. 2006,NO,0
"charlotta26
",353,20. Aug. 2006,NO,0
"0346wackelmann1000
",374,07. Nov. 2007,NO,0
"suchende*2011
",505,21. Sep. 2011,NO,0
"flaute_123
",300,22. Nov. 2007,NO,0
"captnsushi75
",499,12. Jul. 2007,NO,0
"verenalinchen
",747,12. Okt. 2002,NO,0
"nho3417
",271,14. Okt. 2005,NO,0
"m.sty
",268,28. Dez. 2000,NO,0
"trulla-1000
",257,18. Jan. 2002,NO,0
"felixfrida321
",910,17. Jul. 2005,NO,0
"leofl9
",494,01. Apr. 1999,NO,0
"kirk1a
",697,26. Dez. 2003,NO,0
"a8freak
",447,29. Mrz. 2006,NO,0
"$limp-bizkit$
",618,28. Sep. 2000,NO,0
"hardi390
",473,24. Feb. 2009,NO,0
"nadine-meisi
",409,01. Mrz. 2005,NO,0
"annemirl
",477,01. Apr. 1999,NO,0
"dietxy231
",429,13. Feb. 2007,NO,0
"daisyo6
",742,29. Jan. 2005,NO,0
"wisniewskiuwe77
",275,16. Mrz. 2002,NO,0
"ducfriedel
",444,18. Mai. 2002,NO,0
"hahn12
",814,14. Apr. 2001,YES,0
"hanspeter8145
",461,01. Feb. 2005,NO,0
"pocarevac
",299,18. Feb. 2007,NO,0
"hawaaiboy2011
",324,29. Mai. 2006,NO,0
"killerhai22
",409,30. Dez. 2002,NO,0
"gigbagger
",319,21. Dez. 2005,YES,0
"pech3105
",868,19. Dez. 2005,NO,0
"holunder59
",917,06. Mrz. 2003,YES,0
"ama3330_0
",557,25. Dez. 2003,NO,0
"dolphin08*
",570,08. Nov. 2001,NO,0
"mauschelmann
",337,14. Mrz. 2002,NO,0
"fachwerker1
",271,30. Nov. 2003,NO,0
"he1938
",387,19. Mrz. 2003,NO,0
"blundblund
",890,14. Jun. 2005,NO,0
"jerry123tom
",592,02. Nov. 2002,NO,0
"hohnsehn
",335,14. Feb. 2008,NO,0
"canan-ashley
",556,01. Jul. 2003,YES,0
"creativ65
",909,01. Apr. 2002,NO,0
"furor_teutonicus09
",724,29. Jul. 2003,NO,0
"shylina0_3
",324,03. Aug. 2003,NO,0
"trullaschumi
",349,16. Okt. 2001,NO,0
"reimundgt71
",667,25. Dez. 2009,NO,0
"primus678
",344,03. Dez. 2002,NO,0
"gaesi
",485,25. Okt. 2000,NO,0
"docmo993
",329,14. Apr. 2003,NO,0
"xmisspiggy
",283,02. Sep. 2003,NO,0
"lumpi010_0
",380,09. Jan. 2003,NO,0
"nixlein
",479,17. Feb. 2001,NO,0
"wollemaja
",384,14. Jan. 2006,NO,0
"sbyzf
",286,24. Jan. 2008,NO,0
"easyfox88
",425,16. Dez. 2000,NO,0
"tzu0
",977,15. Apr. 2003,NO,0
"hastra0_0
",324,21. Aug. 2004,NO,0
"aprelsjeck
",631,30. Okt. 2002,NO,0
"janbko
",445,25. Jun. 2001,NO,0
"ichantje
",385,31. Okt. 2001,NO,0
"emmy.2573
",753,10. Dez. 2007,NO,0
"bulmart.kijmkmc
",438,20. Dez. 2013,YES,1
"alice76272810
",367,25. Apr. 2003,NO,0
"ifriend01
",778,06. Aug. 2002,NO,0
"rot1234
",361,23. Aug. 2003,YES,0
"123garmisch
",363,04. Mrz. 2006,NO,0
"blackhornet9000
",395,25. Sep. 2011,NO,0
"10duc848
",271,29. Okt. 2010,YES,0
"little-smile
",354,01. Apr. 1999,NO,0
"timmy940_0
",595,29. Sep. 2003,NO,0
"2260omar
",423,24. Sep. 2006,NO,0
"ulrichzahlten
",464,19. Feb. 2005,NO,0
"blinisb
",477,21. Jul. 2006,YES,0
"milchgesichter
",388,03. Sep. 2003,YES,0
"pooh191107
",452,02. Jul. 2009,YES,0
"gmc-germany
",561,15. Mrz. 2019,NO,139
"armanu1
",412,24. Aug. 2002,NO,0
"thomash1993
",471,23. Feb. 2005,NO,0
"danbec0201
",447,30. Mrz. 2009,NO,0
"reica-1973-2008
",705,31. Aug. 2008,YES,0
"thel30959
",519,14. Mrz. 2007,YES,0
"the_golf4
",309,28. Jul. 2013,NO,0
"marialomakina
",607,14. Sep. 2002,NO,0
"cococrazyy
",436,12. Nov. 2008,NO,0
"paep
",617,03. Aug. 2001,NO,0
"daenemark1991
",492,12. Apr. 2004,NO,0
"mwso4
",299,18. Dez. 2005,YES,0
"markus1071
",589,09. Dez. 2004,NO,0
"mondeo2001
",602,04. Dez. 2012,NO,0
"clubsmarttechnik
",661,12. Okt. 2003,NO,0
"schaeferthomas
",774,04. Mai. 2002,NO,0
"diddi6372012
",405,13. Jun. 2012,NO,0
"kontrolleur707
",824,09. Jan. 2004,YES,0
"19jacka84
",331,01. Nov. 2008,NO,0
"bayler_431
",256,15. Feb. 2002,NO,0
"zwitscherfrei12
",432,06. Mrz. 2002,YES,0
"gte-hanse
",841,04. Jan. 2006,NO,0
"murmel2711
",941,08. Apr. 2004,NO,0
"jczy
",347,23. Apr. 2001,NO,0
"9605enrico
",340,23. Apr. 2007,NO,0
"j.heimchen
",581,14. Nov. 2001,NO,0
"265dirk
",279,08. Feb. 2007,NO,0
"sandrabella73
",583,09. Nov. 2005,NO,0
"haribo96000
",338,06. Mai. 2001,NO,0
"mth240
",346,24. Sep. 2003,NO,0
"wile_coyote23
",896,17. Apr. 2007,NO,0
"heinermon
",432,02. Mrz. 2004,NO,0
"froschi*2008
",829,15. Dez. 2003,NO,0
"sittich57
",525,06. Feb. 2002,NO,0
"0397josy
",382,23. Nov. 2007,NO,0
"kirchud
",537,23. Okt. 2014,NO,0
"scheisede
",319,22. Aug. 2013,NO,0
"teddy.0151
",750,19. Dez. 2007,NO,0
"barbara_2029
",284,30. Nov. 2001,NO,0
"estrellademar
",380,27. Apr. 2001,NO,0
"pehaha135
",963,18. Jan. 2005,NO,0
"gubi246
",539,13. Jul. 2003,NO,0
"hdschmitti
",311,11. Jan. 2008,YES,
"diddlzutritt
",765,18. Apr. 2005,NO,0
"suskleiner10012010
",304,30. Nov. 2012,NO,0
"lucky24katze
",993,24. Feb. 2004,NO,0
"compact318ti
",286,01. Apr. 1999,NO,0
"hansel992
",632,12. Jun. 2003,YES,0
"arne148
",316,05. Sep. 2007,YES,0
"30376diesammelrin
",277,08. Jan. 2002,NO,0
"bedhiafi
",351,02. Nov. 2003,NO,0
"michaela4402
",398,13. Apr. 2006,NO,0
"manuela8987
",284,03. Mrz. 2005,NO,0
"susala58
",262,02. Nov. 2005,YES,0
"mh66677
",315,19. Jul. 2003,NO,0
"smadi2010
",364,01. Aug. 2010,NO,0
"glitzchen85
",263,15. Jun. 2008,NO,0
"hauke0104
",584,18. Jan. 2004,NO,0
"joergholler
",418,03. Apr. 2003,NO,0
"rhe-de2014
",361,22. Jan. 2014,NO,0
"ylmaz55
",357,20. Jul. 2009,YES,0
"kulisse-willi
",265,07. Dez. 2010,YES,0
"0676_chimm
",475,22. Aug. 2007,YES,0
"lillilonka
",376,29. Mai. 2002,NO,0
"bools8
",573,17. Feb. 2003,NO,0
"vopa2009
",747,22. Feb. 2009,NO,0
"fritz6703
",342,08. Mrz. 2007,YES,0
"happless2
",380,15. Feb. 2004,YES,0
"micky.n
",943,11. Dez. 2001,NO,0
"rudi-radler63
",294,08. Dez. 2008,NO,0
"l.aboni
",350,11. Feb. 2008,YES,0
"kugel3li7z
",291,10. Mrz. 2004,NO,17
"112ede
",716,08. Nov. 2003,NO,0
"christian-asner
",582,22. Mrz. 2001,NO,0
"cpilsl
",426,06. Mai. 2002,NO,0
"dietherbohlen
",572,27. Sep. 2004,YES,0
"caba1967carmen
",296,03. Mai. 2010,NO,0
"dennis_486
",413,04. Mrz. 2003,NO,0
"123sandkuhl
",354,18. Sep. 2005,NO,0
"handelszentrum-nordwest
",498,11. Feb. 2016,YES,0
"freddyvampire99
",758,23. Jul. 2000,NO,0
"fra0343
",378,19. Jul. 2009,NO,0
"beilngriesfan
",378,17. Sep. 2004,NO,0
"info*10
",350,01. Feb. 2010,NO,0
"halyia
",505,03. Nov. 2010,NO,0
"jagdbursche
",334,10. Jul. 2001,NO,0
"badboy250179
",562,07. Apr. 2012,YES,0
"aapq2
",285,07. Apr. 2011,NO,0
"pleuel7697
",635,29. Jan. 2003,YES,0
"brinkhausbabsi
",692,26. Nov. 2003,NO,1
"alexabianca
",353,17. Jul. 2002,YES,0
"hugo_fitnes
",313,03. Mrz. 2002,NO,0
"fam.ranke
",255,05. Nov. 2002,NO,0
"ohd_drehtechnik
",677,28. Mai. 2005,NO,0
"uschime
",989,20. Mrz. 2003,NO,0
"sugumuk
",391,02. Aug. 2007,NO,0
"chrimo1307
",963,04. Okt. 2003,YES,0
"katzeliane
",266,12. Okt. 2011,NO,0
"superstussi
",269,13. Apr. 2003,NO,0
"hundeherman
",335,03. Mrz. 2004,NO,0
"weisallesbesser007
",701,24. Mrz. 2005,NO,0
"a.dirska.1952
",301,09. Feb. 2009,NO,0
"blfoto
",325,25. Feb. 2016,NO,16
"joerg6370
",314,16. Jun. 2006,NO,0
"29fikuma
",470,24. Feb. 2005,YES,0
"schlepperkafi12
",274,16. Feb. 2006,NO,0
"fixifo
",792,01. Apr. 1999,NO,0
"artep06031964
",398,08. Okt. 2007,NO,0
"xbeer8
",668,19. Sep. 2005,YES,0
"prada_boy_123
",277,31. Mai. 2008,NO,0
"pippi1304
",715,14. Jun. 2006,NO,0
"knutzki
",262,30. Okt. 2001,NO,0
"carrera1212
",874,03. Mai. 2005,NO,0
"monzer-ede
",300,14. Apr. 2002,NO,0
"roti67
",499,05. Jan. 2001,NO,0
"petramdd
",489,04. Dez. 2006,YES,0
"v-west
",424,16. Jan. 2002,NO,0
"namib-diamant
",453,09. Sep. 2003,NO,0
"kawazrx1112
",960,22. Okt. 2003,NO,33
"karussell92
",468,04. Jan. 2011,NO,0
"10stummel79
",337,23. Apr. 2010,NO,0
"koventaseta
",453,07. Aug. 2001,NO,1
"maimilian100
",1306,07. Aug. 2001,NO,0
"spoki1958
",616,08. Jan. 2009,NO,0
"candeel411
",1049,07. Dez. 2006,YES,0
"linajo0724
",481,08. Aug. 2002,NO,0
"namansa2
",1507,12. Jun. 2001,YES,0
"kontestgruppeschaumburg
",1833,06. Mai. 2008,NO,0
"nane61
",1287,22. Dez. 2003,NO,0
"opservicesrl
",1863,29. Mrz. 2002,NO,0
"twilhelm_de
",1063,01. Apr. 1999,NO,0
"kauffrank
",1184,29. Okt. 2001,NO,0
"propanbutan
",1055,21. Nov. 2001,NO,0
"schneider62singen
",1315,22. Jan. 2003,NO,
"hoppelmoppels
",1948,24. Mai. 2003,NO,5
"fuchssternchen
",1900,21. Jan. 2003,NO,0
"g3c
",1610,04. Nov. 2006,NO,0
"ritterrentner15
",1100,03. Aug. 2002,NO,0
"rosarabe
",1256,10. Dez. 2000,NO,0
"ukra67
",1359,18. Mai. 2003,NO,3
"cookstar74
",1099,02. Mrz. 2009,NO,0
"charly0_10
",1015,17. Nov. 2002,NO,0
"smarti0
",1073,31. Jul. 2000,NO,0
"heivavi
",1246,21. Mai. 2001,NO,0
"p-familyspiele
",1841,16. Nov. 2001,NO,0
"polly1804
",2075,05. Apr. 2008,YES,0
"cinderellperls
",1670,19. Aug. 2005,YES,0
"hansundbaerbel
",1017,11. Aug. 2005,YES,0
"mellowjb
",1351,06. Okt. 2001,NO,0
"calyx_123
",1108,13. Dez. 2007,NO,0
"robbiezztt11
",3533,01. Apr. 1999,NO,0
"satanicknights
",1345,01. Apr. 1999,NO,0
"kessy7772
",1525,04. Jan. 2003,YES,0
"e-bai-meister
",1917,29. Apr. 2002,YES,0
"maciejber
",1378,13. Dez. 2001,NO,0
"hoerby1949
",1187,03. Nov. 2002,NO,0
"resser1966
",2268,28. Nov. 2003,NO,0
"jadeshop63
",2078,11. Jun. 2004,NO,0
"carsten6819
",1230,12. Jan. 2005,YES,4
"blade-68
",1142,15. Okt. 2003,NO,0
"sternsand
",2281,01. Dez. 2002,NO,0
"pepe435
",1298,26. Dez. 2002,NO,0
"suedostniedersachsen
",1417,07. Mai. 2001,NO,10
"schnitzel2k
",2035,14. Mai. 2002,NO,0
"chriswupp14
",2806,30. Mrz. 2006,YES,0
"elvis_pfieselmann
",1012,26. Jan. 2002,NO,0
"xhe-schnuppe
",4188,26. Okt. 2001,NO,0
"mxgpz
",2092,18. Mrz. 2009,YES,0
"onderbergener
",1373,22. Jun. 2006,NO,0
"adavid1963
",1923,30. Mrz. 2002,YES,0
"malli036428
",1299,17. Mai. 2009,NO,0
"originalteilcentermarko
",2034,04. Sep. 2005,NO,0
"antikperle1
",2661,14. Jul. 2008,NO,389
"dieter-andrea
",1692,30. Jun. 2002,NO,0
"rgv-250
",1747,01. Apr. 1999,NO,0
"xtigerfamilie2002x
",1506,31. Jan. 2002,NO,0
"romaneseuntdomus
",1272,11. Mai. 2006,YES,0
"weberhaken
",1448,15. Apr. 2001,NO,0
"guenni13*09
",1055,22. Nov. 2009,NO,0
"claudia8155
",1268,12. Mrz. 2005,NO,0
"ruegentrolling
",1629,07. Dez. 2001,YES,0
"wolli55fische
",2970,24. Jan. 2004,NO,0
"gepi1
",1186,01. Apr. 1999,NO,0
"ressurrender
",1581,22. Mrz. 2002,NO,0
"jana-katharina
",2698,30. Aug. 2001,NO,0
"juliale444
",2318,03. Jul. 2005,NO,0
"kira277
",4318,01. Apr. 1999,NO,0
"lemotex
",1544,12. Jul. 2002,NO,0
"urgo88kdl
",1241,23. Okt. 2001,NO,0
"hanswirbel
",1322,14. Apr. 2001,NO,0
"villastein
",3720,27. Jan. 2004,YES,0
"schluessel-und-sicherheitstechnik
",32645,25. Mrz. 2010,YES,8.888
"ameise121212
",2167,01. Sep. 2003,NO,0
"us-117
",1713,24. Aug. 2012,NO,26
"robin.35
",1935,15. Jul. 2002,NO,0
"link8577
",1113,01. Apr. 1999,NO,0
"andreew0_1
",1036,11. Mai. 2003,NO,0
"gas_hilmi
",1067,22. Mai. 2002,YES,0
"dersoehnel
",6388,22. Dez. 2002,NO,0
"gismo4460
",1402,20. Feb. 2003,NO,0
"cartuning-sexyfashion
",1942,05. Okt. 2005,NO,0
"hneke2005
",1252,03. Okt. 2005,NO,0
"feuerwehr-*112*
",1072,18. Jun. 2001,NO,0
"atair5.0
",1650,04. Jun. 2003,NO,0
"icitech-de
",11621,18. Jan. 2010,NO,0
"cristalica_gmbh
",1677,23. Sep. 2011,YES,2.549
"taminatrumpf
",1375,08. Nov. 2008,YES,0
"friesenspies
",1220,12. Sep. 2002,NO,0
"indigoslam
",1236,06. Aug. 2000,NO,2
"mxstoneman
",1420,04. Jul. 2002,NO,0
"luxiwtch
",1022,21. Jan. 2003,NO,0
"tommy0542
",2764,28. Mai. 2006,NO,0
"parts-point
",1093,13. Nov. 2010,NO,0
