Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
WESTERN COGNAC,Leather Remnants,Western Cognac,$78.75,,REDWOOD BROWN WITH LIGHT UNDERTONES,"APPROX 21 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,SOFT WITH A LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Western Cognac is a beautiful redwood brown leather with stunning light brown undertones. This is a mixed lot, meaning color and undertones will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/00a_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/western-cognac-mix-lot-70.html
CHOCOLATE MOUSSE,Leather Remnants,Chocolate Mousse,$75.00,,RICH DISTRESSED BROWN WITH LIGHT UNDERTONES,"APPROX 20 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Chocolate Mousse is a rich chocolate brown distressed leather with gorgeous undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_5_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/chocolate-mousse-mix-lot-76.html
CHOCOLATE MOUSSE,Leather Remnants,Chocolate Mousse,$60.00,,RICH DISTRESSED BROWN WITH LIGHT UNDERTONES,"APPROX 16 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Chocolate Mousse is a rich chocolate brown distressed leather with gorgeous undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_5_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/chocolate-mousse-mix-lot-89.html
DESERT CAMEL DISTRESS,Leather Remnants,Desert Camel Distress,$82.50,,LIGHT YELLOW/ BROWN WITH LIGHT UNDERTONES,"APPROX 22 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,SOFT WITH A LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Desert Camel Distress is a beautiful, soft cream hide with stunning light undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6 oz/sq ft. Approx. thickness: 1.0–1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/b33e3b557dcb005d0bdc19a853c336c0/a/1/a1_3_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/desert-camel-distress-45.html
DOVETAIL DISTRESS,Leather Remnants,Dovetail Distress,$78.75,,RICH GREY TAUPE WITH SOFT GREY UNDERTONES,"APPROX 21 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,SOFT WITH A LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Dovetail Distress is a beautiful grey distressed leather with stunning light undertones. This is a mixed lot, meaning color and undertones will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_2_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/dovetail-distress-mix-lot-20.html
DESERT CAMEL DISTRESS,Leather Remnants,Desert Camel Distress,$90.00,,LIGHT YELLOW/ BROWN WITH LIGHT UNDERTONES,"APPROX 24 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,SOFT WITH A LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Desert Camel Distress is a beautiful, soft cream hide with stunning light undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6 oz/sq ft. Approx. thickness: 1.0–1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/b33e3b557dcb005d0bdc19a853c336c0/a/1/a1_3_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/desert-camel-distress-31.html
CHOCOLATE MOUSSE,Leather Remnants,Chocolate Mousse,$78.75,,RICH DISTRESSED BROWN WITH LIGHT UNDERTONES,"APPROX 21 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Chocolate Mousse is a rich chocolate brown distressed leather with gorgeous undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_5_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/chocolate-mousse-mix-lot-64.html
CHOCOLATE MOUSSE,Leather Remnants,Chocolate Mousse,$78.75,,RICH DISTRESSED BROWN WITH LIGHT UNDERTONES,"APPROX 21 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Chocolate Mousse is a rich chocolate brown distressed leather with gorgeous undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_5_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/chocolate-mousse-mix-lot-65.html
CHOCOLATE MOUSSE,Leather Remnants,Chocolate Mousse,$71.25,,RICH DISTRESSED BROWN WITH LIGHT UNDERTONES,"APPROX 19 SF (Table is 5 foot wide, Grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Chocolate Mousse is a rich chocolate brown distressed leather with gorgeous undertones. This is a mixed lot, meaning color will slightly vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact use, please review images carefully. The piece pictured is the piece you will receive. Please contact our sales team with any questions or concerns. LHS is proud to offer this premium full-grain leather as a partial hide at true wholesale prices! Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/0/000a1_5_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/chocolate-mousse-mix-lot-73.html
ITALIAN SILK LIGHT GREY,Leather Remnants,Italian SIlk Light Grey,$52.50,,NATURAL GREY,"APPROX 14 SF (table is 5 ft wide, grid squares are 12 x 12)",CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM,BUTTERY SOFT,FULL-GRAIN,"Italian Silk Light Grey is a beautiful leather with a rich, buttery soft feel. This is a mixed lot, meaning color will vary from hide to hide and are generally ideal for smaller projects. Remnants may have deep fold lines that could impact yield, please review images carefully. The piece pictured is the piece you will receive. LHS is proud to offer this premium full grain leather as a partial hide at great savings. Approx. weight: 2.6–3.0 oz/sq ft. Approx. thickness: 1.0–1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/a/i/aisl2_1_1_1_1_1_1_1_1_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/italian-silk-light-grey-13.html
