Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
METALLIC 18,Shop By Color,,$238.00,$378.00,GOLD,APPROX 56 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,METALLIC,VERY SOFT,EXCELLENT,Metallic 18 has a beautiful soft shimmer and a silky smooth feel. LHS is proud to offer this premium leather at an exceptional price! Approx Weight 2.6–3.0 oz/sq.ft. Approx Thickness 1.0–1.2 mm.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/m/e/metallic18-4.jpg,,https://www.leatherhidestore.com/metallic-18-leather-upholstery.html
WINTER WHEAT,Shop By Color,,$262.40,$416.00,WARM BROWN,APPROX 64 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Winter Wheat is a very nice leather that is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses with kids, pets, food, drinks and more. It's meant to be seen, admired, lived on and most of all enjoyed. This is leather that will last for years to come and is available now at a price that anyone can afford. Order a sample today before these hides are gone. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 MM","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k857_winter_wheat_c1.jpg,,https://www.leatherhidestore.com/k857%20winter%20wheat.html
BROWN 1,Shop By Color,,$221.20,$350.00,PECAN BROWN,Approx 56 sq ft,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM,VERY SOFT,EXCELLENT,BEAUTIFUL COLOR! GORGEOUS LEATHER! Approx Weight 2.6 oz/sq.ft. Approx Thickness 1-1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/r/brown_1_2_.jpg,,https://www.leatherhidestore.com/brown-1-leather-upholstery.html
STORMY MONDAY,Shop By Color,,$188.60,$299.00,RICH DARK GREY,APPROX 46 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Stormy Monday is a  full aniline-dyed leather that has a deep, rich patina (color). Because aniline dyes are absorbed differently across the hide, the color has ""depth"" as slight variations in tones create a stunning vintage look. As part of the tanning process Stormy Monday is infused with a blend of oil and waxes giving it the prized, yet subtle, pull-up effect. The ""pull up"" is a soft burst of lighter tones that results from the leather being pulled or stretched during upholstering. Stormy Monday may have very slight color variations within the hide and from hide to hide as is common with premium aniline-dyed leather. Please note that some subtle natural markings such as brands, healed scratches and scars will be present and are considered the signature of fine leather. Get this premium full grain leather at a price anyone can afford. Order a sample before these hides are gone.  Approx Weight 2.6 oz/sq ft. Approx Thickness 1.0-1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k828_stormy_monday_whole_c1_1_1_1_1.jpg,,https://www.leatherhidestore.com/k828-c%20stormy%20monday.html
BROWN 10,Shop By Color,,$205.40,$325.00,DARK CHOCOLATE BROWN,Approx 52 sq ft,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM,VERY SOFT,EXCELLENT,BEAUTIFUL COLOR! GORGEOUS LEATHER! Approx Weight 2.6 oz/sq.ft. Approx Thickness 1-1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/r/brown_10_2_.jpg,,https://www.leatherhidestore.com/brown-10-leather-upholstery.html
NEVADA SAND,Shop By Color,,$209.00,$325.00,MEDIUM TAN,APPROX 52 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,Nevada Sand is a beautiful full grain leather at an exceptional price. GREAT DEAL!! Approx Weight 2.6 - 3.0 oz/sq ft. Approx Thickness 1.0 - 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k116_nevada_sand_c3.jpg,,https://www.leatherhidestore.com/k116-nevada-sand-leather-upholstery.html
LEMON TWIST,Shop By Color,,$105.40,$148.00,RICH YELLOW WITH A PINCH OF LIME,APPROX. 24 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL GRAIN,MEDIUM,VERY SOFT,FINE TOP GRAIN,"Gorgeous leather with a rich, vibrant color! Lemon Twist has a light waxy feel that is very supple yet durable and resistant to wear and tear - an ""essential"" leather for everyday use. Great quality at an exceptional price! Approx Weight 2.6 oz/sq.ft. Approx Thickness: 1.0 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/d67562a8247a24d453567adb55ff79ad/n/e/new_lemon_twist_final_set_1a_1.jpg,,https://www.leatherhidestore.com/lemon-twist-yellow-leather-upholstery-hides.html
SAVANNAH,Shop By Color,,$195.57,$310.05,MOSSY GREEN,APPROX 53 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,Savannah Green is a very soft and lush leather. The leather is of great quality. We are proud to offer this beautiful premium full-grain leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/6/k637_c1_1.jpg,,https://www.leatherhidestore.com/k637-savannah-green-a.html
SOFT PEARL,Shop By Color,,$173.25,$236.25,SOFT WHITE,Approx 45 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,EXCELLENT,Soft Pearl is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_44_1_1.jpg,,https://www.leatherhidestore.com/k1094-a-soft-pearl.html
BROWN 998,Shop By Color,,$229.10,$362.50,DARK BROWN,Approx 58sq ft,CLOSEOUT ITEM,STANDARD,SMALL PEBBLE,MEDIUM,VERY SOFT,PREMIUM / FULL GRAIN,BEAUTIFUL COLOR! GORGEOUS LEATHER! Approx Weight 2.6 oz/sq.ft. Approx Thickness 1-1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/r/brown_998_4_.jpg,,https://www.leatherhidestore.com/brown-998-leather-upholstery.html
STORMY MONDAY,Shop By Color,,$254.20,$403.00,RICH DARK GREY,APPROX 62 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM FULL GRAIN,"Stormy Monday is a  full aniline-dyed leather that has a deep, rich patina (color). Because aniline dyes are absorbed differently across the hide, the color has ""depth"" as slight variations in tones create a stunning vintage look. As part of the tanning process Stormy Monday is infused with a blend of oil and waxes giving it the prized, yet subtle, pull-up effect. The ""pull up"" is a soft burst of lighter tones that results from the leather being pulled or stretched during upholstering. Stormy Monday may have very slight color variations within the hide and from hide to hide as is common with premium aniline-dyed leather. Please note that some subtle natural markings such as brands, healed scratches and scars will be present and are considered the signature of fine leather. Get this premium full grain leather at a price anyone can afford. Order a sample before these hides are gone.  Approx Weight 2.6 oz/sq ft. Approx Thickness 1.0-1.2 mm.","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k828_stormy_monday_whole_c1_1_1_1.jpg,,https://www.leatherhidestore.com/k828-b%20stormy%20monday.html
WINTER WHEAT,Shop By Color,,$188.60,$299.00,WARM BROWN,APPROX 46 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Winter Wheat is a very nice leather that is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses with kids, pets, food, drinks and more. It's meant to be seen, admired, lived on and most of all enjoyed. This is leather that will last for years to come and is available now at a price that anyone can afford. Order a sample today before these hides are gone. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 MM","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k857_winter_wheat_c1_1_1_1.jpg,,https://www.leatherhidestore.com/k857-c%20winter%20wheat.html
BROWN 811,Shop By Color,,$288.75,$404.25,DARK CHOCOLATE,Approx 77 sq ft *Photo table 5 ft wide,CLOSEOUT ITEM,STANDARD,SMALL PEBBLE,MEDIUM,VERY SOFT,PREMIUM FULL GRAIN,THIS HIDE IS HEAVIER THAN TYPICAL UPHOLSTERY. BEAUTIFUL COLOR! GORGEOUS LEATHER! Approx Weight 2.8 oz/sq.ft. Approx Thickness: 1.4-1.6mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/7061ee312210ff199fca5e49e3bdfd40/b/r/brown_811_4_.jpg,,https://www.leatherhidestore.com/brown-811-leather-upholstery.html
OLD LODGE DISTRESS,Shop By Color,,$205.40,,MULTI TONE DARK BROWN WITH LIGHTER BROWN HIGHLIGHTS,APPROX. 52 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL DISTRESS,MEDIUM SHEEN,VERY SOFT WITH LIGHT WAXY FEEL,PREMIUM FULL GRAIN,Old lodge distress is premium full-grain leather with a pull-up effect that lightens leather as it is stretched (during upholstering) creating a gorgeous vintage appearance. Pull up leathers intend to distress and get more beautiful over time. Old lodge may have a slight color variation from hide to hide which is common with aniline-dyed leather. Approx Weight 2.6 oz / sq ft Approx Thickness 1.0-1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k136_old_lodge_distress_mill_hrs_c1.jpg,https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg,https://www.leatherhidestore.com/k136-dark-walnut-distress-leather-upholstery.html
FORT BROWN,Shop By Color,,$183.75,$257.25,DARK BROWN,Approx 49 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,EXCELLENT,"Fort Brown is a stunning leather at a price anyone can afford. This hide is both soft and strong, the perfect balance of comfort and durability, making it ideal for high-traffic uses. It's meant to be seen, admired, lived on, and most of all enjoyed. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz / sq ft. Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1054_fort_brown_c1.jpg,,https://www.leatherhidestore.com/k1054-fort-brown.html
PLUM BROWN,Shop By Color,,$181.70,$241.50,DARK BROWN WITH SOFT BURGUNDY UNDERTONES,Approx 46 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,LOW SHEEN,VERY SOFT,EXCELLENT,Plum Brown is a stunning multitone leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_43_1.jpg,,https://www.leatherhidestore.com/k1092-plum-brown.html
BROWN 971-B,Shop By Color,,$233.05,$309.75,2 TONED/ DARK BROWN,Approx 59 sq ft,CLOSEOUT ITEM,STANDARD,NATURAL/ DISTRESS,MEDIUM,LIGHT WAXY FEEL,EXCELLENT,BEAUTIFUL COLOR! GORGEOUS LEATHER! Approx Weight 2.6 oz/sq.ft. Approx Thickness: 1-1.2mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/r/brown_971_3__1.jpg,,https://www.leatherhidestore.com/brown-971b-leather-upholstery.html
WINTER WHEAT,Shop By Color,,$225.50,$357.50,WARM BROWN,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Winter Wheat is a very nice leather that is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses with kids, pets, food, drinks and more. It's meant to be seen, admired, lived on and most of all enjoyed. This is leather that will last for years to come and is available now at a price that anyone can afford. Order a sample today before these hides are gone. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 MM","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/8/k857_winter_wheat_c1_1.jpg,,https://www.leatherhidestore.com/k857-a%20winter%20wheat.html
